Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Profit Ratio,Quantity,Sales
Technology,Henderson,United States,Maria Etezadi,GE,1/6/2013,CA-2011-167199,42420,GE 30524EE4,South,Home Office,1/10/2013,Standard Class,Kentucky,Phones,0%,1,$114,29%,2,$392
Technology,Henderson,United States,Maria Etezadi,Other,1/6/2013,CA-2011-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,Home Office,1/10/2013,Standard Class,Kentucky,Phones,0%,1,$204,27%,4,$756
Office Supplies,Henderson,United States,Maria Etezadi,Alliance,1/6/2013,CA-2011-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",South,Home Office,1/10/2013,Standard Class,Kentucky,Fasteners,0%,1,$0,1%,4,$31
Office Supplies,Henderson,United States,Maria Etezadi,Southworth,1/6/2013,CA-2011-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,South,Home Office,1/10/2013,Standard Class,Kentucky,Paper,0%,1,$3,46%,1,$7
Furniture,Huntsville,United States,Vivek Sundaresam,Howard Miller,1/7/2013,CA-2011-105417,77340,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,1/12/2013,Standard Class,Texas,Furnishings,60%,1,-$54,-70%,3,$77
Office Supplies,Huntsville,United States,Vivek Sundaresam,Acco,1/7/2013,CA-2011-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumer,1/12/2013,Standard Class,Texas,Binders,80%,1,-$18,-175%,7,$10
Office Supplies,Laredo,United States,Melanie Seite,Newell,1/9/2013,CA-2011-135405,78041,Newell 312,Central,Consumer,1/13/2013,Standard Class,Texas,Art,20%,1,$1,13%,2,$9
Technology,Laredo,United States,Melanie Seite,Memorex,1/9/2013,CA-2011-135405,78041,Memorex Micro Travel Drive 8 GB,Central,Consumer,1/13/2013,Standard Class,Texas,Accessories,20%,1,$10,31%,3,$31
Office Supplies,Springfield,United States,Anthony Jacobs,Avery,1/10/2013,CA-2011-149020,22153,Avery 482,South,Corporate,1/15/2013,Standard Class,Virginia,Labels,0%,1,$1,47%,1,$3
Furniture,Springfield,United States,Anthony Jacobs,Howard Miller,1/10/2013,CA-2011-149020,22153,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,1/15/2013,Standard Class,Virginia,Furnishings,0%,1,$21,41%,1,$52
Furniture,Dover,United States,Seth Vernon,DAX,1/11/2013,CA-2011-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,1/14/2013,First Class,Delaware,Furnishings,0%,1,$3,31%,2,$10
Office Supplies,Bossier City,United States,Chris Selesnick,Staple envelope,1/13/2013,CA-2011-162775,71111,Staple envelope,South,Corporate,1/15/2013,Second Class,Louisiana,Envelopes,0%,1,$5,47%,2,$11
Office Supplies,Bossier City,United States,Chris Selesnick,Other,1/13/2013,CA-2011-162775,71111,Brown Kraft Recycled Envelopes,South,Corporate,1/15/2013,Second Class,Louisiana,Envelopes,0%,1,$25,50%,3,$51
Technology,Bossier City,United States,Chris Selesnick,Plantronics,1/13/2013,CA-2011-162775,71111,Plantronics S12 Corded Telephone Headset System,South,Corporate,1/15/2013,Second Class,Louisiana,Accessories,0%,1,$259,40%,6,$647
Office Supplies,Bossier City,United States,Chris Selesnick,3-ring staple pack,1/13/2013,CA-2011-162775,71111,3-ring staple pack,South,Corporate,1/15/2013,Second Class,Louisiana,Binders,0%,1,$3,48%,3,$6
Office Supplies,Bossier City,United States,Chris Selesnick,Fellowes,1/13/2013,CA-2011-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,Corporate,1/15/2013,Second Class,Louisiana,Storage,0%,1,$34,6%,6,$573
Furniture,Mount Pleasant,United States,Natalie DeCherney,Global,1/13/2013,CA-2011-109232,29464,Global Highback Leather Tilter in Burgundy,South,Consumer,1/16/2013,Second Class,South Carolina,Chairs,0%,1,$87,16%,6,$546
Office Supplies,San Francisco,United States,Brian Dahlen,Tennsco,1/13/2013,CA-2011-157147,94109,Tennsco 6- and 18-Compartment Lockers,West,Consumer,1/18/2013,Standard Class,California,Storage,0%,1,$239,18%,5,"$1,326"
Furniture,San Francisco,United States,Brian Dahlen,O'Sullivan,1/13/2013,CA-2011-157147,94109,"O'Sullivan Elevations Bookcase, Cherry Finish",West,Consumer,1/18/2013,Standard Class,California,Bookcases,15%,1,$4,1%,3,$334
Office Supplies,San Francisco,United States,Brian Dahlen,Other,1/13/2013,CA-2011-157147,94109,4009 Highlighters by Sanford,West,Consumer,1/18/2013,Standard Class,California,Art,0%,1,$7,33%,5,$20
Office Supplies,Newark,United States,Michael Moore,Xerox,1/13/2013,CA-2011-118192,43055,Xerox 1923,East,Consumer,1/18/2013,Standard Class,Ohio,Paper,20%,1,$13,35%,7,$37
Office Supplies,Newark,United States,Michael Moore,Avery,1/13/2013,CA-2011-118192,43055,Avery Metallic Poly Binders,East,Consumer,1/18/2013,Standard Class,Ohio,Binders,70%,1,-$3,-73%,2,$3
Furniture,Philadelphia,United States,Brendan Sweed,Sauder,1/14/2013,CA-2011-149524,19140,Sauder Cornerstone Collection Library,East,Corporate,1/15/2013,First Class,Pennsylvania,Bookcases,50%,1,-$53,-86%,4,$62
Technology,Roswell,United States,Erica Hackney,Logitech,1/15/2013,CA-2011-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,Consumer,1/17/2013,First Class,Georgia,Accessories,0%,1,$66,44%,5,$150
Furniture,Philadelphia,United States,Delfina Latchford,DAX,1/16/2013,CA-2011-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,1/18/2013,Second Class,Pennsylvania,Furnishings,20%,1,$29,23%,6,$127
Technology,Philadelphia,United States,Delfina Latchford,AT&T,1/16/2013,CA-2011-115791,19134,AT&T 841000 Phone,East,Consumer,1/18/2013,Second Class,Pennsylvania,Phones,40%,1,-$31,-25%,3,$124
Office Supplies,Philadelphia,United States,Delfina Latchford,GBC,1/16/2013,CA-2011-115791,19134,GBC Linen Binding Covers,East,Consumer,1/18/2013,Second Class,Pennsylvania,Binders,70%,1,-$14,-73%,2,$19
Office Supplies,Philadelphia,United States,Delfina Latchford,Other,1/16/2013,CA-2011-115791,19134,Round Specialty Laser Printer Labels,East,Consumer,1/18/2013,Second Class,Pennsylvania,Labels,20%,1,$10,34%,3,$30
Office Supplies,Springfield,United States,David Wiener,Fellowes,1/18/2013,CA-2011-123477,97477,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,1/21/2013,Second Class,Oregon,Appliances,20%,1,$6,10%,4,$65
Office Supplies,Scottsdale,United States,Toby Swindell,GBC,1/19/2013,CA-2011-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Consumer,1/20/2013,First Class,Arizona,Binders,70%,1,-$24,-73%,10,$32
Office Supplies,Scottsdale,United States,Toby Swindell,TOPS,1/19/2013,CA-2011-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,Consumer,1/20/2013,First Class,Arizona,Paper,20%,1,$20,35%,4,$56
Office Supplies,Scottsdale,United States,Toby Swindell,Tyvek,1/19/2013,CA-2011-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,Consumer,1/20/2013,First Class,Arizona,Envelopes,20%,1,$37,34%,5,$109
Furniture,Scottsdale,United States,Toby Swindell,O'Sullivan,1/19/2013,CA-2011-146591,85254,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Consumer,1/20/2013,First Class,Arizona,Bookcases,70%,1,-$321,-177%,5,$181
Technology,Jonesboro,United States,Hunter Lopez,Apple,1/20/2013,US-2011-147627,72401,Apple iPhone 5C,South,Consumer,1/26/2013,Standard Class,Arkansas,Phones,0%,1,$182,26%,7,$700
Office Supplies,Jonesboro,United States,Hunter Lopez,Newell,1/20/2013,US-2011-147627,72401,Newell 351,South,Consumer,1/26/2013,Standard Class,Arkansas,Art,0%,1,$7,29%,7,$23
Furniture,Jonesboro,United States,Hunter Lopez,Eldon,1/20/2013,US-2011-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,Consumer,1/26/2013,Standard Class,Arkansas,Furnishings,0%,1,$12,30%,4,$39
Office Supplies,Jonesboro,United States,Hunter Lopez,Newell,1/20/2013,US-2011-147627,72401,Newell 327,South,Consumer,1/26/2013,Standard Class,Arkansas,Art,0%,1,$2,27%,3,$7
Office Supplies,Jonesboro,United States,Hunter Lopez,Staple envelope,1/20/2013,US-2011-147627,72401,Staple envelope,South,Consumer,1/26/2013,Standard Class,Arkansas,Envelopes,0%,1,$11,47%,3,$23
Furniture,Jonesboro,United States,Hunter Lopez,Hon,1/20/2013,US-2011-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,1/26/2013,Standard Class,Arkansas,Chairs,0%,1,$224,21%,3,"$1,068"
Office Supplies,Los Angeles,United States,Mark Van Huff,Wirebound,1/20/2013,CA-2011-148614,90049,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Consumer,1/25/2013,Standard Class,California,Paper,0%,1,$9,48%,2,$19
Furniture,Los Angeles,United States,Mark Van Huff,Eldon,1/20/2013,CA-2011-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,1/25/2013,Standard Class,California,Furnishings,0%,1,$6,30%,2,$19
Office Supplies,Westland,United States,Xylona Preis,Eldon,1/20/2013,CA-2011-167927,48185,Eldon Fold 'N Roll Cart System,Central,Consumer,1/26/2013,Standard Class,Michigan,Storage,0%,1,$4,29%,1,$14
Furniture,Westland,United States,Xylona Preis,Eldon,1/20/2013,CA-2011-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,Consumer,1/26/2013,Standard Class,Michigan,Furnishings,0%,1,$30,11%,3,$273
Office Supplies,Westland,United States,Xylona Preis,Acco,1/20/2013,CA-2011-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,Consumer,1/26/2013,Standard Class,Michigan,Binders,0%,1,$9,47%,5,$19
Office Supplies,Westland,United States,Xylona Preis,Holmes,1/20/2013,CA-2011-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,1/26/2013,Standard Class,Michigan,Appliances,10%,1,$94,38%,4,$248
Office Supplies,Westland,United States,Xylona Preis,Fellowes,1/20/2013,CA-2011-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,Consumer,1/26/2013,Standard Class,Michigan,Storage,0%,1,$16,24%,2,$67
Office Supplies,Westland,United States,Xylona Preis,Panasonic,1/20/2013,CA-2011-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumer,1/26/2013,Standard Class,Michigan,Art,0%,1,$13,29%,3,$44
Furniture,Westland,United States,Xylona Preis,Ultra,1/20/2013,CA-2011-167927,48185,Ultra Door Push Plate,Central,Consumer,1/26/2013,Standard Class,Michigan,Furnishings,0%,1,$5,33%,3,$15
Office Supplies,Westland,United States,Xylona Preis,Storex,1/20/2013,CA-2011-167927,48185,Storex Dura Pro Binders,Central,Consumer,1/26/2013,Standard Class,Michigan,Binders,0%,1,$13,45%,5,$30
Office Supplies,Smyrna,United States,Muhammed MacIntyre,GBC,1/20/2013,US-2011-147774,37167,GBC DocuBind TL200 Manual Binding Machine,South,Corporate,1/26/2013,Standard Class,Tennessee,Binders,70%,1,-$52,-77%,1,$67
Furniture,Miami,United States,Tom Boeckenhauer,Ultra,1/21/2013,CA-2011-110422,33180,Ultra Door Pull Handle,South,Consumer,1/23/2013,Second Class,Florida,Furnishings,20%,1,$4,16%,3,$25
Office Supplies,Las Vegas,United States,Ionia McGrath,Xerox,1/23/2013,CA-2011-102645,89115,Xerox 195,West,Consumer,1/28/2013,Standard Class,Nevada,Paper,0%,1,$19,48%,6,$40
Office Supplies,Lafayette,United States,Speros Goranitis,Alliance,1/23/2013,CA-2011-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumer,1/27/2013,Standard Class,Indiana,Fasteners,0%,1,$0,0%,3,$6
Furniture,Alexandria,United States,Shirley Daniels,GE,1/26/2013,US-2011-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",South,Home Office,1/31/2013,Standard Class,Virginia,Furnishings,0%,1,$31,49%,3,$63
Office Supplies,Alexandria,United States,Shirley Daniels,SAFCO,1/26/2013,US-2011-155502,22304,"SAFCO Commercial Wire Shelving, 72h",South,Home Office,1/31/2013,Standard Class,Virginia,Storage,0%,1,$0,0%,8,$490
Office Supplies,Alexandria,United States,Shirley Daniels,Eureka,1/26/2013,US-2011-155502,22304,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",South,Home Office,1/31/2013,Standard Class,Virginia,Paper,0%,1,$9,48%,3,$19
Office Supplies,Alexandria,United States,Shirley Daniels,REDIFORM,1/26/2013,US-2011-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",South,Home Office,1/31/2013,Standard Class,Virginia,Paper,0%,1,$8,50%,2,$17
Technology,Alexandria,United States,Shirley Daniels,Other,1/26/2013,US-2011-155502,22304,Macally Suction Cup Mount,South,Home Office,1/31/2013,Standard Class,Virginia,Phones,0%,1,$0,0%,13,$155
Furniture,Alexandria,United States,Shirley Daniels,Eldon,1/26/2013,US-2011-155502,22304,Eldon Image Series Black Desk Accessories,South,Home Office,1/31/2013,Standard Class,Virginia,Furnishings,0%,1,$4,36%,3,$12
Technology,Alexandria,United States,Shirley Daniels,Jabra,1/26/2013,US-2011-155502,22304,Jabra SPEAK 410,South,Home Office,1/31/2013,Standard Class,Virginia,Phones,0%,1,$53,28%,2,$188
Office Supplies,Rapid City,United States,Carol Adams,Wilson Jones,1/26/2013,CA-2011-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Corporate,1/29/2013,First Class,South Dakota,Binders,0%,1,$5,47%,2,$11
Furniture,Rapid City,United States,Carol Adams,SAFCO,1/26/2013,CA-2011-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,Corporate,1/29/2013,First Class,South Dakota,Bookcases,0%,1,$40,28%,2,$142
Office Supplies,San Diego,United States,Ed Jacobs,Other,1/27/2013,US-2011-117163,92037,Recycled Steel Personal File for Hanging File Folders,West,Consumer,2/2/2013,Standard Class,California,Storage,0%,1,$14,25%,1,$57
Furniture,San Diego,United States,Ed Jacobs,Balt,1/27/2013,US-2011-117163,92037,Balt Split Level Computer Training Table,West,Consumer,2/2/2013,Standard Class,California,Tables,20%,1,-$17,-5%,3,$333
Office Supplies,San Diego,United States,Ed Jacobs,Dixon,1/27/2013,US-2011-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,West,Consumer,2/2/2013,Standard Class,California,Art,0%,1,$12,33%,4,$36
Office Supplies,New York City,United States,Jasper Cacioppo,Pressboard,1/28/2013,CA-2011-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",East,Consumer,2/3/2013,Standard Class,New York,Binders,20%,1,$1,34%,1,$4
Office Supplies,Detroit,United States,Mike Vittorini,Xerox,1/30/2013,CA-2011-134103,48234,Xerox 1972,Central,Consumer,2/4/2013,Standard Class,Michigan,Paper,0%,1,$5,45%,2,$11
Office Supplies,Detroit,United States,Mike Vittorini,Space Solutions,1/30/2013,CA-2011-134103,48234,Space Solutions HD Industrial Steel Shelving.,Central,Consumer,2/4/2013,Standard Class,Michigan,Storage,0%,1,$7,3%,2,$230
Furniture,Mission Viejo,United States,Liz Carlisle,Sauder,1/31/2013,CA-2011-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",West,Consumer,2/2/2013,First Class,California,Bookcases,15%,1,$3,1%,2,$291
Technology,Green Bay,United States,Bradley Drucker,Enermax,2/1/2013,CA-2011-140795,54302,Enermax Aurora Lite Keyboard,Central,Consumer,2/3/2013,First Class,Wisconsin,Accessories,0%,1,$206,44%,6,$469
Office Supplies,San Diego,United States,Cynthia Delaney,Other,2/2/2013,CA-2011-139857,92037,Staples,West,Home Office,2/6/2013,Standard Class,California,Fasteners,0%,1,$6,47%,5,$12
Office Supplies,Saint Petersburg,United States,Eric Barreto,Other,2/2/2013,CA-2011-123400,33710,Surelock Post Binders,South,Consumer,2/9/2013,Standard Class,Florida,Binders,70%,1,-$12,-67%,2,$18
Technology,Saint Petersburg,United States,Eric Barreto,AT&T,2/2/2013,CA-2011-123400,33710,AT&T 17929 Lendline Telephone,South,Consumer,2/9/2013,Standard Class,Florida,Phones,20%,1,$14,8%,5,$181
Office Supplies,Seattle,United States,Tom Boeckenhauer,Ibico,2/3/2013,CA-2011-111059,98105,Ibico Laser Imprintable Binding System Covers,West,Consumer,2/6/2013,Second Class,Washington,Binders,20%,1,$27,33%,2,$84
Office Supplies,Seattle,United States,Tom Boeckenhauer,Avery,2/3/2013,CA-2011-111059,98105,Avery Durable Poly Binders,West,Consumer,2/6/2013,Second Class,Washington,Binders,20%,1,$4,33%,3,$13
Office Supplies,San Diego,United States,Deborah Brumfield,GBC,2/4/2013,CA-2011-107181,92024,GBC Recycled Grain Textured Covers,West,Home Office,2/8/2013,Standard Class,California,Binders,20%,1,$29,35%,3,$83
Office Supplies,San Diego,United States,Deborah Brumfield,Message Book,2/4/2013,CA-2011-107181,92024,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",West,Home Office,2/8/2013,Standard Class,California,Paper,0%,1,$16,47%,4,$34
Office Supplies,Escondido,United States,Mark Haberlin,GBC,2/4/2013,CA-2011-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Corporate,2/8/2013,Second Class,California,Binders,20%,1,$6,35%,2,$17
Office Supplies,Chesapeake,United States,Neil Ducich,Avery,2/6/2013,CA-2011-131905,23320,Avery 480,South,Corporate,2/9/2013,First Class,Virginia,Labels,0%,1,$7,48%,4,$15
Technology,Chesapeake,United States,Neil Ducich,Other,2/6/2013,CA-2011-131905,23320,Aastra 57i VoIP phone,South,Corporate,2/9/2013,First Class,Virginia,Phones,0%,1,$42,26%,1,$162
Technology,Chesapeake,United States,Neil Ducich,AT&T,2/6/2013,CA-2011-131905,23320,AT&T CL82213,South,Corporate,2/9/2013,First Class,Virginia,Phones,0%,1,$42,29%,5,$145
Office Supplies,Romeoville,United States,Delfina Latchford,Avery,2/6/2013,CA-2011-108182,60441,"Avery Flip-Chart Easel Binder, Black",Central,Consumer,2/10/2013,Second Class,Illinois,Binders,80%,1,-$15,-165%,2,$9
Technology,Linden,United States,Cyma Kinney,Maxell,2/7/2013,CA-2011-107755,7036,Maxell DVD-RAM Discs,East,Corporate,2/12/2013,Standard Class,New Jersey,Accessories,0%,1,$50,43%,7,$115
Office Supplies,New York City,United States,Chris Selesnick,Acco,2/7/2013,US-2011-169390,10024,Acco Perma 4000 Stacking Storage Drawers,East,Corporate,2/10/2013,Second Class,New York,Storage,0%,1,$10,15%,4,$65
Furniture,North Las Vegas,United States,Nathan Mautz,Master Caster,2/8/2013,CA-2011-125759,89031,"Master Caster Door Stop, Large Brown",West,Home Office,2/9/2013,First Class,Nevada,Furnishings,0%,1,$6,38%,2,$15
Technology,Chesapeake,United States,Natalie Fritzler,Enermax,2/11/2013,CA-2011-127614,23320,Enermax Aurora Lite Keyboard,South,Consumer,2/15/2013,Standard Class,Virginia,Accessories,0%,1,$103,44%,3,$234
Furniture,Chesapeake,United States,Natalie Fritzler,Hon,2/11/2013,CA-2011-127614,23320,Hon 2111 Invitation Series Corner Table,South,Consumer,2/15/2013,Standard Class,Virginia,Tables,0%,1,$75,6%,6,"$1,256"
Office Supplies,Chesapeake,United States,Natalie Fritzler,Wilson Jones,2/11/2013,CA-2011-127614,23320,Wilson Jones Leather-Like Binders with DublLock Round Rings,South,Consumer,2/15/2013,Standard Class,Virginia,Binders,0%,1,$8,47%,2,$17
Furniture,Columbia,United States,Guy Armstrong,Global,2/11/2013,CA-2011-168368,65203,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumer,2/15/2013,Second Class,Missouri,Chairs,0%,1,$15,25%,1,$61
Office Supplies,Columbia,United States,Guy Armstrong,Avery,2/11/2013,CA-2011-168368,65203,Avery 483,Central,Consumer,2/15/2013,Second Class,Missouri,Labels,0%,1,$7,46%,3,$15
Office Supplies,Columbia,United States,Guy Armstrong,Wilson Jones,2/11/2013,CA-2011-168368,65203,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Central,Consumer,2/15/2013,Second Class,Missouri,Binders,0%,1,$4,46%,2,$10
Furniture,Columbia,United States,Guy Armstrong,Other,2/11/2013,CA-2011-168368,65203,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Central,Consumer,2/15/2013,Second Class,Missouri,Furnishings,0%,1,$53,16%,3,$333
Office Supplies,Columbia,United States,Guy Armstrong,Other,2/11/2013,CA-2011-168368,65203,VariCap6 Expandable Binder,Central,Consumer,2/15/2013,Second Class,Missouri,Binders,0%,1,$24,47%,3,$52
Office Supplies,Columbia,United States,Guy Armstrong,Fellowes,2/11/2013,CA-2011-168368,65203,Fellowes Neat Ideas Storage Cubes,Central,Consumer,2/15/2013,Second Class,Missouri,Storage,0%,1,$3,4%,2,$65
Furniture,Concord,United States,Sanjit Chand,Global,2/12/2013,US-2011-110674,94521,"Global Geo Office Task Chair, Gray",West,Consumer,2/18/2013,Standard Class,California,Chairs,20%,1,-$24,-19%,2,$130
Office Supplies,Houston,United States,Shui Tom,Other,2/14/2013,CA-2011-107706,77095,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Central,Consumer,2/19/2013,Second Class,Texas,Paper,20%,1,$6,38%,3,$16
Technology,Seattle,United States,Marina Lichtenstein,Logitech,2/14/2013,CA-2011-121762,98103,Logitech G600 MMO Gaming Mouse,West,Corporate,2/18/2013,Standard Class,Washington,Accessories,0%,1,$86,36%,3,$240
Office Supplies,Seattle,United States,Marina Lichtenstein,Belkin,2/14/2013,CA-2011-121762,98103,Belkin 8 Outlet Surge Protector,West,Corporate,2/18/2013,Standard Class,Washington,Appliances,0%,1,$23,28%,2,$82
Office Supplies,Seattle,United States,Marina Lichtenstein,Other,2/14/2013,CA-2011-121762,98103,Compact Automatic Electric Letter Opener,West,Corporate,2/18/2013,Standard Class,Washington,Supplies,0%,1,$5,2%,2,$239
Office Supplies,Seattle,United States,Barry Französisch,Pressboard,2/15/2013,CA-2011-165568,98105,Pressboard Data Binders by Wilson Jones,West,Corporate,2/19/2013,Standard Class,Washington,Binders,20%,1,$7,34%,5,$21
Office Supplies,Dallas,United States,Michael Nguyen,Wilson Jones,2/16/2013,CA-2011-122567,75220,Wilson Jones Easy Flow II Sheet Lifters,Central,Consumer,2/21/2013,Standard Class,Texas,Binders,80%,1,-$2,-160%,3,$1
Office Supplies,Dallas,United States,Michael Nguyen,Holmes,2/16/2013,CA-2011-122567,75220,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Central,Consumer,2/21/2013,Standard Class,Texas,Appliances,80%,1,-$14,-175%,2,$8
Office Supplies,Chicago,United States,Delfina Latchford,Staples in misc. colors,2/17/2013,CA-2011-154165,60653,Staples in misc. colors,Central,Consumer,2/24/2013,Standard Class,Illinois,Art,20%,1,$9,16%,14,$54
Furniture,Lubbock,United States,Troy Blackwell,DAX,2/18/2013,US-2011-165589,79424,"DAX Copper Panel Document Frame, 5 x 7 Size",Central,Consumer,2/18/2013,Same Day,Texas,Furnishings,60%,1,-$11,-45%,5,$25
Office Supplies,Arlington,United States,Aaron Bergman,Akro,2/18/2013,CA-2011-152905,76017,Akro Stacking Bins,Central,Consumer,2/24/2013,Standard Class,Texas,Storage,20%,1,-$3,-20%,2,$13
Technology,Richmond,United States,Linda Cazamias,Enermax,2/20/2013,CA-2011-109491,47374,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Central,Corporate,2/26/2013,Standard Class,Indiana,Accessories,0%,1,$22,36%,3,$62
Furniture,Richmond,United States,Linda Cazamias,Master Caster,2/20/2013,CA-2011-109491,47374,"Master Caster Door Stop, Brown",Central,Corporate,2/26/2013,Standard Class,Indiana,Furnishings,0%,1,$7,34%,4,$20
Office Supplies,Los Angeles,United States,Steven Roelle,Xerox,2/20/2013,CA-2011-164903,90049,Xerox 204,West,Home Office,2/24/2013,Standard Class,California,Paper,0%,1,$6,48%,2,$13
Office Supplies,Woodstock,United States,Tamara Manning,GBC,2/21/2013,CA-2011-165540,60098,GBC Standard Plastic Binding Systems Combs,Central,Consumer,2/25/2013,Standard Class,Illinois,Binders,80%,1,-$14,-155%,5,$9
Office Supplies,Moreno Valley,United States,Sue Ann Reed,Xerox,2/22/2013,CA-2011-133354,92553,Xerox 220,West,Consumer,2/24/2013,First Class,California,Paper,0%,1,$9,48%,3,$19
